City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Cabo San Lucas,MX,22.8909,-109.9124,72.7,88,90,3.44,overcast clouds
228,Nizhniy Ingash,RU,56.2,96.53,22.21,93,100,12.3,light snow
229,Bandarban,BD,22.1965,92.2262,60.64,78,6,2.08,clear sky
230,Erenhot,CN,43.6475,111.9767,28.24,60,5,11.61,clear sky
231,Chai Badan,TH,15.2,101.1333,70.52,70,100,9.53,overcast clouds
232,Amapa,BR,1.0,-52.0,72.09,98,7,2.51,clear sky
233,Olafsvik,IS,64.8945,-23.7142,38.66,91,100,7.02,overcast clouds
234,Beni Mazar,EG,28.4962,30.8029,66.36,34,100,1.25,overcast clouds
235,Itoman,JP,26.1247,127.6694,71.98,56,75,18.41,broken clouds
236,Oistins,BB,13.0667,-59.5333,80.69,78,40,14.97,scattered clouds
237,Upernavik,GL,72.7868,-56.1549,2.17,96,48,8.55,scattered clouds
238,Kankakee,US,41.15,-87.8667,40.71,93,40,5.75,scattered clouds
239,Laguna,US,38.421,-121.4238,63.1,59,1,3.44,clear sky
240,Warri,NG,5.5167,5.75,76.32,91,62,2.48,broken clouds
241,Jamame,SO,0.0722,42.7506,75.0,87,77,2.51,broken clouds
242,Chapeco,BR,-27.0964,-52.6183,61.74,92,0,1.97,clear sky
243,Havelock,US,34.8791,-76.9013,39.15,80,1,0.0,clear sky
244,Frolovo,RU,49.7713,43.6622,36.57,97,99,14.76,overcast clouds
245,Kathmandu,NP,27.7167,85.3167,46.62,100,20,2.3,mist
246,Sao Filipe,CV,14.8961,-24.4956,77.16,73,9,12.77,clear sky
247,Dunedin,NZ,-45.8742,170.5036,60.89,61,0,12.33,clear sky
248,Santa Isabel,BR,-23.3156,-46.2214,69.1,83,100,2.3,overcast clouds
249,Itamaraca,BR,-7.7478,-34.8256,82.45,70,99,10.94,overcast clouds
250,Altamira,BR,-3.2033,-52.2064,74.25,91,96,2.3,overcast clouds
251,Kochubey,RU,44.3861,46.5825,43.43,93,100,6.58,overcast clouds
252,Christchurch,NZ,-43.5333,172.6333,55.6,94,90,13.8,light rain
253,Isla Mujeres,MX,21.2311,-86.731,77.05,69,4,8.55,clear sky
254,Geraldton,AU,-28.7667,114.6,88.21,18,0,5.75,clear sky
255,Komsomolskiy,UZ,40.4272,71.7189,29.62,56,15,0.65,few clouds
256,Phalaborwa,ZA,-23.943,31.1411,60.08,82,74,4.41,broken clouds
257,Lata,PT,40.1629,-8.3327,41.0,76,23,3.83,few clouds
258,Prince Rupert,CA,54.3161,-130.3201,50.09,81,90,20.71,overcast clouds
259,Haines Junction,CA,60.7522,-137.5108,-4.05,65,100,9.22,light snow
260,Mezen,RU,65.8522,44.24,0.61,98,72,5.37,broken clouds
261,Touros,BR,-5.1989,-35.4608,81.5,71,82,13.15,broken clouds
262,Xuddur,SO,4.1213,43.8894,71.28,92,12,10.11,few clouds
263,Niquero,CU,20.0431,-77.5828,74.93,69,2,17.18,clear sky
264,Yenagoa,NG,4.9247,6.2642,75.63,92,84,4.16,broken clouds
265,Barra Do Garcas,BR,-15.89,-52.2567,78.39,74,91,3.09,overcast clouds
266,Ribeira Grande,PT,38.5167,-28.7,61.83,64,95,8.37,overcast clouds
267,Boa Esperanca,BR,-21.09,-45.5658,67.91,79,0,2.71,clear sky
268,Cedar City,US,37.6775,-113.0619,45.57,27,1,3.44,clear sky
269,Gizo,SB,-8.103,156.8419,85.84,66,40,9.1,scattered clouds
270,Asmar,AF,35.0333,71.3581,51.08,42,66,9.4,broken clouds
271,Lapas,GR,38.1,21.4167,57.22,82,75,5.75,broken clouds
272,Fallon,US,39.4735,-118.7774,48.07,34,1,5.75,clear sky
273,Griffith,US,41.5284,-87.4237,40.93,97,75,3.44,broken clouds
274,Brekstad,NO,63.687,9.6654,21.29,86,40,13.8,scattered clouds
275,Dovers,VC,12.8833,-61.1833,81.54,79,18,14.54,few clouds
276,Vao,NC,-22.6667,167.4833,74.93,86,100,20.22,overcast clouds
277,Iqaluit,CA,63.7506,-68.5145,24.53,63,90,11.5,light snow
278,Mount Isa,AU,-20.7333,139.5,89.37,19,0,11.5,clear sky
279,Bilibino,RU,68.0546,166.4372,-24.03,97,62,4.21,broken clouds
280,Cidreira,BR,-30.1811,-50.2056,69.48,94,100,7.94,overcast clouds
281,Harper,LR,4.375,-7.7169,79.12,85,32,8.14,scattered clouds
282,Caravelas,BR,-17.7125,-39.2481,72.81,92,100,6.53,overcast clouds
283,Ayr,GB,55.4627,-4.6339,31.98,80,100,0.0,overcast clouds
284,Kingman,US,35.1894,-114.053,60.28,14,1,0.0,clear sky
285,Victoria,HK,22.2855,114.1577,69.85,51,72,7.2,broken clouds
286,Plettenberg Bay,ZA,-34.0527,23.3716,62.62,71,36,4.43,scattered clouds
287,Ledyard,US,41.4398,-72.0142,32.99,51,1,6.91,clear sky
288,Acajutla,SV,13.5928,-89.8275,79.43,66,10,5.61,clear sky
289,Egvekinot,RU,66.3167,-179.1667,-16.08,84,0,4.97,clear sky
290,Svetlyy,RU,54.675,20.1347,35.65,84,100,10.18,overcast clouds
291,Balabac,PH,7.9868,117.0645,82.71,75,100,3.83,overcast clouds
292,Panzhihua,CN,26.5851,101.7128,52.21,72,3,0.65,clear sky
293,Juba,SS,4.8517,31.5825,74.59,72,19,4.12,few clouds
294,Aksarka,RU,66.5606,67.7975,-19.84,100,65,4.43,broken clouds
295,Oktyabrskiy,RU,54.4815,53.471,10.83,87,6,6.55,clear sky
296,Altay,CN,47.8667,88.1167,5.22,59,12,6.49,few clouds
297,Dzilam Gonzalez,MX,21.2833,-88.9333,74.73,75,91,7.36,overcast clouds
298,Nizhniy Kuranakh,RU,58.8353,125.4869,1.89,90,100,7.61,overcast clouds
299,Caucasia,CO,7.9865,-75.1935,75.16,92,25,2.64,scattered clouds
300,Selma,US,36.5708,-119.6121,62.65,33,0,3.29,clear sky
301,Makakilo City,US,21.3469,-158.0858,80.92,59,90,5.75,overcast clouds
302,Oksfjord,NO,70.2396,22.3479,20.32,82,34,11.95,scattered clouds
303,Ascension,US,30.2169,-90.9001,57.2,94,90,0.0,overcast clouds
304,Sobolevo,RU,54.4299,31.8996,35.74,93,100,13.71,overcast clouds
305,Mahibadhoo,MV,3.7833,72.9667,81.63,73,100,16.89,overcast clouds
306,Flin Flon,CA,54.7682,-101.865,18.7,88,8,8.46,clear sky
307,Cherskiy,RU,68.75,161.3,-25.04,92,22,3.27,few clouds
308,Guerrero Negro,MX,27.9769,-114.0611,67.66,63,0,11.9,clear sky
309,Grindavik,IS,63.8424,-22.4338,36.07,100,75,1.14,broken clouds
310,Lorengau,PG,-2.0226,147.2712,85.33,66,100,4.03,overcast clouds
311,Zhovti Vody,UA,48.3473,33.5003,46.06,95,15,6.22,few clouds
312,Port Hedland,AU,-20.3167,118.5667,100.45,11,7,28.77,clear sky
313,Lianzhou,CN,24.7811,112.3825,58.42,67,31,3.49,scattered clouds
314,Montanha,BR,-18.1269,-40.3633,67.93,93,100,3.56,overcast clouds
315,Nouadhibou,MR,20.931,-17.0347,67.66,61,1,22.32,clear sky
316,Alofi,NU,-19.0595,-169.9187,82.29,74,96,12.66,light rain
317,Pressbaum,AT,48.176,16.0477,31.55,97,100,0.38,overcast clouds
318,Tuatapere,NZ,-46.1333,167.6833,62.38,44,0,5.77,clear sky
319,Havre-Saint-Pierre,CA,50.2334,-63.5986,39.56,93,90,13.8,overcast clouds
320,Hue,VN,16.4667,107.6,69.91,94,75,9.22,mist
321,Masumbwe,TZ,-3.6333,32.1833,63.0,95,10,1.28,light rain
322,Coffs Harbour,AU,-30.3,153.1333,73.36,68,75,16.11,broken clouds
323,Port-Cartier,CA,50.0334,-66.8654,37.62,95,100,10.49,overcast clouds
324,Salaverry,PE,-8.2333,-78.9667,64.38,87,100,8.7,overcast clouds
325,Isfana,KG,39.8386,69.5306,27.16,43,95,5.55,overcast clouds
326,Khudumelapye,BW,-23.8833,24.75,64.99,66,5,12.01,clear sky
327,Bushehr,IR,28.9684,50.8385,71.69,60,0,16.11,clear sky
328,Porto Novo,BJ,6.4965,2.6036,79.79,83,100,5.21,overcast clouds
329,Ulladulla,AU,-35.35,150.4667,62.02,68,98,10.67,overcast clouds
330,Slave Lake,CA,55.2834,-114.769,28.38,59,90,12.66,overcast clouds
331,Acari,PE,-15.4311,-74.6158,69.76,77,100,3.71,overcast clouds
332,Kalemie,CD,-5.9475,29.1947,68.4,84,68,2.28,light rain
333,Krasnoselkup,RU,65.7,82.4667,5.9,95,100,9.69,light snow
334,Manta,EC,-0.95,-80.7333,73.18,88,40,11.5,scattered clouds
335,Sabzevar,IR,36.2126,57.6819,44.56,60,0,0.04,clear sky
336,Bata,GQ,1.8639,9.7658,79.34,85,100,6.04,overcast clouds
337,Saint-Augustin,CA,51.226,-58.6502,43.59,80,17,14.99,few clouds
338,Nome,US,64.5011,-165.4064,-9.33,64,1,3.44,clear sky
339,Berbera,SO,10.4396,45.0143,79.7,78,5,4.14,clear sky
340,Ayapel,CO,8.3137,-75.1398,75.11,93,33,3.96,scattered clouds
341,Yarada,IN,17.65,83.2667,79.12,73,75,9.22,mist
342,Saint-Pierre,RE,-21.3393,55.4781,76.68,78,90,2.3,light rain
343,Luba,GQ,3.4568,8.5547,80.06,84,100,6.08,light rain
344,Constitucion,CL,-35.3333,-72.4167,52.09,88,0,14.16,clear sky
345,Aklavik,CA,68.2191,-135.0107,-12.17,83,100,17.43,overcast clouds
