City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
253,Rawson,AR,2021-11-25 23:24:50,-43.3002,-65.1023,61.27,60,15,13.33
254,Kitimat,CA,2021-11-25 23:24:50,54.0524,-128.6534,45.91,28,100,4.0
255,Nantucket,US,2021-11-25 23:21:42,41.2835,-70.0995,50.09,78,87,15.21
256,Mount Gambier,AU,2021-11-25 23:24:51,-37.8333,140.7667,55.31,67,90,21.85
257,San Quintin,MX,2021-11-25 23:24:51,30.4833,-115.95,70.75,37,0,4.9
258,Henderson,US,2021-11-25 23:20:09,36.0397,-114.9819,66.65,14,1,16.11
259,Kidal,ML,2021-11-25 23:24:52,18.4411,1.4078,77.29,25,34,9.4
260,Sao Sebastiao,BR,2021-11-25 23:24:53,-23.76,-45.4097,71.87,93,46,10.25
261,Storslett,NO,2021-11-25 23:24:53,69.7678,21.0247,15.93,85,100,12.1
262,Port Hedland,AU,2021-11-25 23:24:53,-20.3167,118.5667,86.05,25,38,24.16
263,Yajalon,MX,2021-11-25 23:24:54,17.2333,-92.3333,71.42,94,49,2.51
264,Chipata,ZM,2021-11-25 23:24:54,-13.6333,32.65,66.52,90,100,8.28
265,Granadilla De Abona,ES,2021-11-25 23:24:55,28.1188,-16.576,59.58,65,20,10.36
266,Byron Bay,AU,2021-11-25 23:24:55,-28.65,153.6167,78.06,83,97,14.76
267,Sabancuy,MX,2021-11-25 23:24:56,18.9667,-91.1833,77.45,70,27,11.27
268,Leh,IN,2021-11-25 23:24:56,34.1667,77.5833,15.26,73,34,3.96
269,Abeche,TD,2021-11-25 23:24:57,13.8292,20.8324,72.48,10,0,11.54
270,Noumea,NC,2021-11-25 23:24:57,-22.2763,166.4572,84.18,99,38,10.58
271,Huarmey,PE,2021-11-25 23:24:58,-10.0681,-78.1522,68.7,81,81,8.93
272,Tombouctou,ML,2021-11-25 23:24:58,20.0,-3.0,76.91,33,27,5.23
273,Saint-Francois,FR,2021-11-25 23:24:58,46.4154,3.9054,34.68,91,90,5.75
274,Bam,IR,2021-11-25 23:24:59,29.106,58.357,57.33,47,0,1.23
275,Santa Ines,BR,2021-11-25 23:24:59,-3.6667,-45.38,78.03,84,92,3.89
276,Margate,GB,2021-11-25 23:25:00,51.3813,1.3862,37.9,83,99,15.08
277,Misratah,LY,2021-11-25 23:25:00,32.3754,15.0925,69.35,70,6,22.01
278,Erzin,TR,2021-11-25 23:26:01,36.9559,36.2,54.32,85,100,3.24
279,Baringo,KE,2021-11-25 23:26:01,0.4667,35.9667,73.29,61,100,5.17
280,Berlevag,NO,2021-11-25 23:26:02,70.8578,29.0864,21.99,68,100,11.21
281,Tchaourou,BJ,2021-11-25 23:26:03,8.8865,2.5975,80.08,37,22,2.44
282,Susanville,US,2021-11-25 23:26:03,40.4163,-120.653,51.8,46,91,3.09
283,Iaciara,BR,2021-11-25 23:26:04,-14.0958,-46.6317,75.67,42,99,5.95
284,Saint-Louis,SN,2021-11-25 23:26:04,16.3333,-15.0,78.44,20,100,7.09
